         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32021    0.198    0.000    0.334    0.000 inspect.py:625(cleandoc)
      303    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
     8633    0.049    0.000    0.119    0.000 inspect.py:2124(_signature_from_function)
        1    0.036    0.036    0.044    0.044 backend_gtk3.py:317(__init__)
509831/508490    0.032    0.000    0.032    0.000 {built-in method builtins.len}
        1    0.031    0.031    0.033    0.033 backend_gtk3.py:92(__init__)
   195688    0.030    0.000    0.030    0.000 {built-in method builtins.min}
   295565    0.028    0.000    0.028    0.000 {method 'lstrip' of 'str' objects}
    23468    0.025    0.000    0.045    0.000 inspect.py:2489(__init__)
8779/8740    0.025    0.000    0.168    0.000 inspect.py:2218(_signature_from_callable)
      216    0.024    0.000    0.340    0.002 artist.py:1422(get_setters)
    33099    0.023    0.000    0.363    0.000 inspect.py:606(getdoc)
      434    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
84738/84544    0.020    0.000    0.033    0.000 {built-in method builtins.getattr}
    38093    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
 1263/981    0.019    0.000    0.836    0.001 {built-in method builtins.__build_class__}
        1    0.019    0.019    0.019    0.019 {method 'encode' of 'ImagingEncoder' objects}
     8852    0.018    0.000    0.028    0.000 inspect.py:2772(__init__)
   147134    0.017    0.000    0.019    0.000 {built-in method builtins.isinstance}
     9093    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
       32    0.016    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
    32033    0.016    0.000    0.016    0.000 {method 'expandtabs' of 'str' objects}
   123388    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
      333    0.014    0.000    0.014    0.000 {built-in method builtins.compile}
    27386    0.014    0.000    0.318    0.000 artist.py:1441(is_alias)
41000/40996    0.014    0.000    0.016    0.000 {method 'join' of 'str' objects}
        1    0.014    0.014    0.023    0.023 Gdk.py:22(<module>)
      216    0.013    0.000    0.245    0.001 artist.py:1347(get_aliases)
    24423    0.012    0.000    0.019    0.000 enum.py:313(__call__)
  594/237    0.011    0.000    0.028    0.000 sre_parse.py:493(_parse)
     4000    0.011    0.000    0.122    0.000 artist.py:1375(get_valid_values)
      216    0.010    0.000    0.019    0.000 artist.py:1358(<listcomp>)
     8771    0.009    0.000    0.017    0.000 inspect.py:493(unwrap)
       60    0.008    0.000    0.008    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      353    0.008    0.000    0.008    0.000 {method 'get_g_type' of 'gi.RegisteredTypeInfo' objects}
    28500    0.007    0.000    0.010    0.000 inspect.py:2821(<genexpr>)
     7432    0.006    0.000    0.060    0.000 re.py:289(_compile)
    55736    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
  223/194    0.006    0.000    0.030    0.000 module.py:128(__getattr__)
    43416    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
     3293    0.006    0.000    0.006    0.000 {built-in method numpy.array}
     1526    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    42495    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    20055    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
      655    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
 1274/233    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
    19686    0.005    0.000    0.006    0.000 inspect.py:158(isfunction)
      303    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     2184    0.005    0.000    0.015    0.000 inspect.py:544(_finddoc)
      114    0.005    0.000    0.316    0.003 artist.py:1491(pprint_setters)
     8740    0.004    0.000    0.176    0.000 inspect.py:3103(signature)
        4    0.004    0.001    0.004    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
    24415    0.004    0.000    0.004    0.000 enum.py:631(__new__)
     4000    0.004    0.000    0.009    0.000 artist.py:1448(aliased_name)
      303    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    10476    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
2142/1073    0.004    0.000    0.018    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8740    0.004    0.000    0.171    0.000 inspect.py:2851(from_callable)
    664/1    0.004    0.000    1.391    1.391 {built-in method builtins.exec}
     6382    0.003    0.000    0.088    0.000 __init__.py:653(__getitem__)
    37285    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     2184    0.003    0.000    0.006    0.000 inspect.py:534(_findclass)
       30    0.003    0.000    0.019    0.001 __init__.py:759(_rc_params_in_file)
        2    0.003    0.002    0.012    0.006 font_manager.py:1311(_findfont_cached)
     9668    0.003    0.000    0.005    0.000 inspect.py:513(_is_wrapper)
     7741    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     5813    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     6338    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.003    0.003    0.022    0.022 Gtk.py:22(<module>)
    23722    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
    24989    0.003    0.000    0.003    0.000 inspect.py:2539(name)
     8806    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     5185    0.003    0.000    0.040    0.000 re.py:198(search)
     3483    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1185    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      374    0.003    0.000    0.013    0.000 artist.py:1046(update)
4282/3755    0.003    0.000    0.005    0.000 artist.py:290(stale)
 1522/486    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      101    0.003    0.000    0.010    0.000 artist.py:139(<listcomp>)
   616/28    0.002    0.000    1.140    0.041 <frozen importlib._bootstrap>:986(_find_and_load)
